順位,コース,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
66,新潟・芝1000,  9-  7-  8- 46/ 70,12.9%,22.9%,34.3%,97,77,85.2,6.4着,4.7人気,15.5,758,225,0,0.0%,10.0%,11.4%,56.12,11.22,64.14
67,京都・芝1400外,  9-  7-  5- 56/ 77,11.7%,20.8%,27.3%,74,62,68.9,6.2着,4.2人気,10.5,641,230,0,0.0%,9.1%,6.5%,81.67,11.67,61.71
68,小倉・ダ1000,  8- 12-  7- 62/ 89,9.0%,22.5%,30.3%,31,54,48.5,5.6着,3.8人気,12.1,346,179,0,0.0%,13.5%,7.9%,59.21,11.84,60.80
69,函館・芝1800,  8- 12-  7- 32/ 59,13.6%,33.9%,45.8%,33,74,59.3,4.8着,3.2人気,7.5,249,183,0,0.0%,20.3%,11.9%,108.77,12.09,59.58
70,中山・芝2200,  8-  7-  5- 32/ 52,15.4%,28.8%,38.5%,64,62,72.6,5.0着,3.4人気,7.1,420,163,0,0.0%,13.5%,9.6%,134.16,12.20,59.03
71,新潟・芝1200,  8-  6-  3- 25/ 42,19.0%,33.3%,40.5%,86,83,110.7,5.3着,4.4人気,10.6,456,205,0,0.0%,14.3%,7.1%,70.15,11.69,61.58
72,阪神・芝1400,  7- 13-  9- 43/ 72,9.7%,27.8%,40.3%,66,75,51.5,5.5着,3.5人気,8.6,683,194,0,0.0%,18.1%,12.5%,81.57,11.65,61.79
73,中京・芝1200,  7- 10-  6- 30/ 53,13.2%,32.1%,43.4%,67,104,82.9,5.5着,4.3人気,13.5,513,240,0,0.0%,18.9%,11.3%,69.15,11.53,62.47
74,阪神・芝2400外,  7-  8-  6- 21/ 42,16.7%,35.7%,50.0%,89,85,79.0,3.6着,3.2人気,7.6,539,170,0,0.0%,19.0%,14.3%,147.01,12.25,58.77
75,新潟・芝2000,  7-  8-  3- 28/ 46,15.2%,32.6%,39.1%,70,68,70.6,5.6着,3.3人気,8.5,463,176,0,0.0%,17.4%,6.5%,123.01,12.30,58.53
76,札幌・ダ1000,  7-  5- 11- 29/ 52,13.5%,23.1%,44.2%,65,68,61.3,4.6着,3.2人気,7.0,486,162,0,0.0%,9.6%,21.2%,59.79,11.96,60.21
77,中山・障2880ダ,  7-  5-  3- 25/ 40,17.5%,30.0%,37.5%,47,60,79.9,6.0着,4.7人気,38.2,271,161,0,0.0%,12.5%,7.5%,199.19,13.83,52.05
78,函館・芝2000,  7-  4-  5- 20/ 36,19.4%,30.6%,44.4%,76,89,90.5,5.4着,3.5人気,7.5,394,201,0,0.0%,11.1%,13.9%,121.38,12.14,59.32
79,京都・芝1200,  6- 10-  3- 51/ 70,8.6%,22.9%,27.1%,32,50,47.7,6.8着,3.8人気,10.2,382,186,0,0.0%,14.3%,4.3%,69.17,11.53,62.45
